Keyword,Subjects,Location,Volume,KD,Current position,Position change,Previous URL,Current URL,top_3,top_10,everything_else,serp_position,dropped,increased,stable,position_shifts
chess tutor,Other,canada,50,23,1,1,https://www.superprof.ca/lessons/chess/canada/,https://www.superprof.ca/lessons/chess/canada/,1,0,0,Top 3,0,1,0,increased
statistics tutor near me,Other,montreal,50,0,1,,https://www.superprof.ca/lessons/statistics/ottawa/,https://www.superprof.ca/lessons/statistics/montreal/,1,0,0,Top 3,0,0,1,stable
math tutor hamilton,category 1,hamilton,50,0,1,,https://www.superprof.ca/lessons/mathematics/hamilton/,https://www.superprof.ca/lessons/mathematics/hamilton/,1,0,0,Top 3,0,0,1,stable
sat tutoring,Other,montreal,50,9,1,2,https://www.superprof.ca/lessons/sat-prep/toronto/,https://www.superprof.ca/lessons/sat-prep/montreal/,1,0,0,Top 3,0,1,0,increased
reading tutor mississauga,Other,mississauga,50,0,1,,https://www.superprof.ca/lessons/reading/mississauga/,https://www.superprof.ca/lessons/reading/mississauga/,1,0,0,Top 3,0,0,1,stable
spanish tutor near me,category 9,toronto,50,0,1,2,https://www.superprof.ca/lessons/spanish/canada/,https://www.superprof.ca/lessons/spanish/toronto/,1,0,0,Top 3,0,1,0,increased
excel tutor,Other,canada,50,16,1,,https://www.superprof.ca/lessons/microsoft-excel/canada/,https://www.superprof.ca/lessons/microsoft-excel/canada/,1,0,0,Top 3,0,0,1,stable
english tutor toronto,category 3,toronto,50,2,1,,https://www.superprof.ca/lessons/academic-english/toronto/,https://www.superprof.ca/lessons/academic-english/toronto/,1,0,0,Top 3,0,0,1,stable
guitar tutor,category 7,canada,50,42,1,,https://www.superprof.ca/lessons/guitar/canada/,https://www.superprof.ca/lessons/guitar/canada/,1,0,0,Top 3,0,0,1,stable
singing teacher,category 6,montreal,50,5,1,2,https://www.superprof.ca/lessons/singing/halifax/,https://www.superprof.ca/lessons/singing/montreal/,1,0,0,Top 3,0,1,0,increased
clarinet lessons near me,Other,canada,50,0,1,2,https://www.superprof.ca/lessons/clarinet/canada/,https://www.superprof.ca/lessons/clarinet/canada/,1,0,0,Top 3,0,1,0,increased
private dance lessons near me,Other,montreal,50,12,1,,https://www.superprof.ca/lessons/dance/calgary/,https://www.superprof.ca/lessons/dance/montreal/,1,0,0,Top 3,0,0,1,stable
harmonica lessons near me,Other,canada,50,5,1,3,https://www.superprof.ca/lessons/harmonica/canada/,https://www.superprof.ca/lessons/harmonica/canada/,1,0,0,Top 3,0,1,0,increased
watercolor painting classes near me,Other,montreal,50,0,1,3,https://www.superprof.ca/lessons/watercolor-painting/ottawa/,https://www.superprof.ca/lessons/watercolor-painting/montreal/,1,0,0,Top 3,0,1,0,increased
private yoga classes near me,category 8,toronto,50,0,1,2,https://www.superprof.ca/lessons/yoga/canada/,https://www.superprof.ca/lessons/yoga/toronto/,1,0,0,Top 3,0,1,0,increased
pytutor,Other,canada,50,64,,Lost,https://www.superprof.ca/lessons/c/canada/,,1,0,0,Top 3,0,1,0,
tutor teach,category 4,calgary,50,0,,Lost,https://www.superprof.ca/lessons/all-tutors/calgary/,,1,0,0,Top 3,0,1,0,
english teacher canada,category 3,canada,50,5,,Lost,https://www.superprof.ca/lessons/academic-english/canada/,,1,0,0,Top 3,0,1,0,
swimming lessons laval,category 5,montreal,50,0,,Lost,https://www.superprof.ca/lessons/swimming/montreal/,,1,0,0,Top 3,0,1,0,
kids tennis lessons,Other,calgary,50,0,,Lost,https://www.superprof.ca/lessons/tennis/calgary/,,1,0,0,Top 3,0,1,0,
art lessons,Other,vancouver,50,55,,Lost,https://www.superprof.ca/lessons/fine-arts/vancouver/,,1,0,0,Top 3,0,1,0,
in car driving lessons,Other,canada,50,12,,Lost,https://www.superprof.ca/lessons/driving/canada/,,1,0,0,Top 3,0,1,0,
tennis lessons mississauga,Other,province-ontario,50,5,,Lost,https://www.superprof.ca/lessons/tennis/province-ontario/,,1,0,0,Top 3,0,1,0,
how many driving lessons do you need,Other,canada,50,1,,Lost,https://www.superprof.ca/lessons/driving/canada/,,1,0,0,Top 3,0,1,0,
